,index,geo_index,height_mean,height_std,area_mean,area_std,Site,Year,0
5193,3127,735000_4703000,17.585618151281007,4.476280764646132,20.560887546859735,17.961911423260876,HARV,2019,30744
5194,3128,735000_4705000,17.641779730473775,4.793340654680636,20.821028661424137,19.07584132498106,HARV,2018,29588
5195,3128,735000_4705000,17.641779730473775,4.793340654680636,20.821028661424137,19.07584132498106,HARV,2019,35866
5196,3129,735000_4706000,16.97002808570792,4.566360123455355,21.43645134148534,19.583110214206,HARV,2018,30736
5197,3129,735000_4706000,16.97002808570792,4.566360123455355,21.43645134148534,19.583110214206,HARV,2019,36991
5198,3130,735000_4707000,16.112066710763504,5.2145374019581485,19.902529444734544,17.908105186163077,HARV,2019,33552
5199,3130,735000_4707000,16.112066710763504,5.2145374019581485,19.902529444734544,17.908105186163077,HARV,2018,27240
5200,3131,735000_4709000,17.305155395144162,4.01890069924513,20.847113653709147,18.378131743532332,HARV,2018,31665
5201,3131,735000_4709000,17.305155395144162,4.01890069924513,20.847113653709147,18.378131743532332,HARV,2019,36771
5202,3132,735000_4710000,18.100990461052017,3.596036827825911,21.116330313198542,18.52376627172645,HARV,2019,37184
5203,3132,735000_4710000,18.100990461052017,3.596036827825911,21.116330313198542,18.52376627172645,HARV,2018,33010
5204,3133,735000_4711000,13.093193389955664,6.224002795079445,17.32304961804699,15.925834262798729,HARV,2019,41114
5205,3133,735000_4711000,13.093193389955664,6.224002795079445,17.32304961804699,15.925834262798729,HARV,2018,36499
5206,3134,735000_4712000,15.969788662852926,4.998220157344543,21.51579099866676,20.87765808137874,HARV,2019,32813
5207,3134,735000_4712000,15.969788662852926,4.998220157344543,21.51579099866676,20.87765808137874,HARV,2018,28622
5208,3135,735000_4713000,17.867641881958047,5.622780114336177,25.319047503214243,24.424028795584483,HARV,2018,20211
5209,3135,735000_4713000,17.867641881958047,5.622780114336177,25.319047503214243,24.424028795584483,HARV,2019,24986
5210,3136,735000_4715000,18.38752246935443,4.837033903135699,23.272678441790234,22.84226560312296,HARV,2019,30290
5211,3137,736000_3450000,10.149198693481658,4.003309600358038,22.23818634605175,27.94138039225832,JERC,2019,3920
5212,3137,736000_3450000,10.149198693481658,4.003309600358038,22.23818634605175,27.94138039225832,JERC,2018,7725
5213,3138,736000_3451000,7.48080245634538,3.4359586529891506,21.401048288209314,25.010702367350987,JERC,2018,10071
5214,3138,736000_3451000,7.48080245634538,3.4359586529891506,21.401048288209314,25.010702367350987,JERC,2019,11135
5215,3139,736000_3452000,8.676928882725726,3.8699630779123497,24.456520556324733,28.380638224481935,JERC,2018,13154
5216,3139,736000_3452000,8.676928882725726,3.8699630779123497,24.456520556324733,28.380638224481935,JERC,2019,12945
5217,3140,736000_3454000,12.318972344151259,5.568689230272275,24.51369632398309,24.124248294598914,JERC,2018,6206
5218,3140,736000_3454000,12.318972344151259,5.568689230272275,24.51369632398309,24.124248294598914,JERC,2019,6090
5219,3141,736000_3455000,6.9632110410392505,2.9960553300428407,27.147989186930655,27.42470297310244,JERC,2018,2360
5220,3141,736000_3455000,6.9632110410392505,2.9960553300428407,27.147989186930655,27.42470297310244,JERC,2019,2449
